,name,player_y,dt,minutes,slug
23894,Corey Brewer,Corey Brewer,2017-10-19,16.433333333333334,breweco01
47360,Lonzo Ball,Lonzo Ball,2017-10-19,29.35,balllo01
43233,David Nwaba,David Nwaba,2017-10-19,12.883333333333333,nwabada01
15171,Patrick Beverley,Patrick Beverley,2017-10-19,24.116666666666667,beverpa01
35602,Michael Beasley,Michael Beasley,2017-10-19,0.6,beaslmi01
11519,Brook Lopez,Brook Lopez,2017-10-19,28.733333333333334,lopezbr01
4099,Jonas Valan?i?nas,Jonas Valanciunas,2017-10-19,30.5,valanjo01
46947,OG Anunoby,OG Anunoby,2017-10-19,17.233333333333334,anunoog01
31492,Delon Wright,Delon Wright,2017-10-19,23.366666666666667,wrighde01
47798,Alfonzo McKinnie,Alfonzo McKinnie,2017-10-19,1.2333333333333334,mckinal01
4235,Ramon Sessions,Ramon Sessions,2017-10-19,20.633333333333333,sessira01
4263,Larry Nance,Larry Nance Jr.,2017-10-19,29.5,nancela02
7011,Lance Thomas,Lance Thomas,2017-10-19,15.5,thomala01
2136,DeMar DeRozan,DeMar DeRozan,2017-10-19,32.05,derozde01
46827,Lauri Markkanen,Lauri Markkanen,2017-10-19,33.45,markkla01
8468,Kyle O'Quinn,Kyle O'Quinn,2017-10-19,21.766666666666666,oquinky01
41167,Kay Felder,Kay Felder,2017-10-19,15.516666666666667,feldeka01
40180,Jakob Pöltl,Jakob Poeltl,2017-10-19,17.5,poeltja01
14355,Wesley Johnson,Wesley Johnson,2017-10-19,19.816666666666666,johnswe01
3920,Jordan Clarkson,Jordan Clarkson,2017-10-19,22.516666666666666,clarkjo01
34544,Cristiano Felício,Cristiano Da Silva Felicio,2017-10-19,16.266666666666666,feliccr01
40068,Álex Abrines,Alex Abrines,2017-10-19,24.25,abrinal01
4551,Doug McDermott,Doug McDermott,2017-10-19,23.816666666666666,mcderdo01
41285,Paul Zipser,Paul Zipser,2017-10-19,24.116666666666667,zipsepa01
31996,Tyler Ennis,Tyler Ennis,2017-10-19,9.833333333333334,ennisty01
47900,Damyean Dotson,Damyean Dotson,2017-10-19,2.8,dotsoda01
22207,Willie Reed,Willie Reed,2017-10-19,13.05,reedwi02
48386,Jarrett Allen,Jarrett Allen,2017-10-20,14.6,allenja01
49392,Zach Collins,Zach Collins,2017-10-20,7.033333333333333,colliza01
31384,Joe Young,Joseph Young,2017-10-20,3.85,youngjo01
29504,Shelvin Mack,Shelvin Mack,2017-10-20,10.116666666666667,macksh01
37501,Joe Harris,Joe Harris,2017-10-20,18.466666666666665,harrijo01
21068,Jason Terry,Jason Terry,2017-10-20,16.383333333333333,terryja01
48972,Cedi Osman,Cedi Osman,2017-10-20,1.2333333333333334,osmande01
48703,Sterling Brown,Sterling Brown,2017-10-20,5.716666666666667,brownst02
16342,Andre Iguodala,Andre Iguodala,2017-10-20,23.166666666666668,iguodan01
43471,Alex Poythress,Alex Poythress,2017-10-20,3.85,poythal01
49198,Guerschon Yabusele,Guerschon Yabusele,2017-10-20,3.283333333333333,yabusgu01
25526,Johnny O'Bryant,Johnny O'Bryant,2017-10-20,14.1,obryajo01
34064,Salah Mejri,Salah Mejri,2017-10-20,12.8,mejrisa01
6467,JaVale McGee,JaVale McGee,2017-10-20,8.716666666666667,mcgeeja01
