player,pos,salary,date
Ryan Arcidiacono,PG,3000,2018-02-26
Tyler Cavanaugh,PF,3000,2018-02-26
Milton Doyle,PG,3000,2018-02-26
Guerschon Yabusele,PF/C,3000,2018-02-26
Abdel Nader,PF,3000,2018-02-26
Jabari Bird,SG,3000,2018-02-26
Kadeem Allen,SG,3000,2018-02-26
Isaiah Hicks,PF/C,3000,2018-02-26
Antonio Blakeney,PG,3000,2018-02-26
Johnathan Motley,SF,3000,2018-02-26
Antonius Cleveland,SG,3000,2018-02-26
Chris Boucher,PF,3000,2018-02-26
Zhou Qi,PF/C,3000,2018-02-26
Ben Moore,SF,3000,2018-02-26
Edmond Sumner,PG,3000,2018-02-26
Ike Anigbogu,PF/C,3000,2018-02-26
Trey McKinney Jones,SG,3000,2018-02-26
Thomas Bryant,PF/C,3000,2018-02-26
Kobi Simmons,SG,3000,2018-02-26
Erik McCree,SF/PF,3000,2018-02-26
Justin Patton,C,3000,2018-02-26
Amile Jefferson,PF,3000,2018-02-26
Frank Jackson,PG/SG,3000,2018-02-26
Charles Cooke,SG,3000,2018-02-26
Damyean Dotson,SG/SF,3000,2018-02-26
Jamel Artis,SG/SF,3000,2018-02-26
Luke Kornet,PF/C,3000,2018-02-26
Dakari Johnson,C,3000,2018-02-26
Terrance Ferguson,SG/SF,3000,2018-02-26
Wesley Iwundu,SG/SF,3000,2018-02-26
Jonathan Isaac,SF/PF,3000,2018-02-26
Alec Peters,SF/PF,3000,2018-02-26
Harry Giles,PF/C,3000,2018-02-26
Alfonzo McKinnie,PF,3000,2018-02-26
Tony Bradley,PF/C,3000,2018-02-26
Naz Long,PG,3000,2018-02-26
TJ Leaf,SF/PF,3000,2018-02-26
PJ Dozier,PG/SG,3000,2018-02-26
Daniel Hamilton,SF,3000,2018-02-26
Reggie Hearn,SG,3000,2018-02-26
Myke Henry,SG/SF,3000,2018-02-26
Walt Lemon Jr.,SF,3000,2018-02-26
LeBron James,SF/PF,11700,2018-02-27
Giannis Antetokounmpo,SF/PF,10700,2018-02-27
Nikola Jokic,C,10500,2018-02-27
Damian Lillard,PG,9700,2018-02-27
Joel Embiid,C,9400,2018-02-27
Bradley Beal,PG/SG,8900,2018-02-27
Ben Simmons,PG/SF,8700,2018-02-27
Kemba Walker,PG,8600,2018-02-27
Dwight Howard,C,8400,2018-02-27
DeAndre Jordan,C,7900,2018-02-27
Tobias Harris,SF/PF,7600,2018-02-27
John Wall,PG,7500,2018-02-27
C.J. McCollum,PG/SG,7500,2018-02-27
Zach LaVine,PG/SG,7400,2018-02-27
Eric Bledsoe,PG/SG,7300,2018-02-27
Louis Williams,PG/SG,7200,2018-02-27
Hassan Whiteside,C,7200,2018-02-27
Will Barton,SG/SF,7100,2018-02-27
Spencer Dinwiddie,PG/SG,7000,2018-02-27
D'Angelo Russell,PG/SG,6900,2018-02-27
Kris Dunn,PG/SG,6900,2018-02-27
Jusuf Nurkic,C,6800,2018-02-27
Otto Porter,SF/PF,6800,2018-02-27
Khris Middleton,SG/SF,6700,2018-02-27
Kevin Love,PF/C,6600,2018-02-27
Jamal Murray,PG/SG,6600,2018-02-27
Bobby Portis,PF/C,6500,2018-02-27
Goran Dragic,PG,6400,2018-02-27
Nicolas Batum,SG/SF,6300,2018-02-27
Willie Cauley-Stein,C,6200,2018-02-27
Dario Saric,PF/C,6100,2018-02-27
Danilo Gallinari,SF/PF,6000,2018-02-27
