name,player_y,slug,date_x
Nigel Hayes,Nigel Hayes,hayesni01,1/21/18
Nikola Miroti?,Nikola Mirotic,mirotni01,12/8/17
Noah Vonleh,Noah Vonleh,vonleno01,11/1/17
Norman Powell,Norman Powell,powelno01,10/19/17
OG Anunoby,OG Anunoby,anunoog01,10/19/17
Okaro White,Okaro White,whiteok01,10/25/17
Omari Spellman,Omari Spellman,spellom01,10/17/18
Omri Casspi,Omri Casspi,casspom01,10/17/17
Otto Porter,Otto Porter,porteot01,10/18/17
P.J. Tucker,P.J. Tucker,tuckepj01,10/17/17
Pascal Siakam,Pascal Siakam,siakapa01,10/19/17
Pat Connaughton,Pat Connaughton,connapa01,10/18/17
Patrick Beverley,Patrick Beverley,beverpa01,10/19/17
Patrick McCaw,Patrick McCaw,mccawpa01,10/17/17
Patrick Patterson,Patrick Patterson,pattepa01,10/19/17
Pau Gasol,Pau Gasol,gasolpa01,10/18/17
Paul George,Paul George,georgpa01,10/19/17
Paul Millsap,Paul Millsap,millspa01,10/18/17
Paul Zipser,Paul Zipser,zipsepa01,10/19/17
PJ Dozier,PJ Dozier,doziepj01,2/8/18
Quincy Acy,Quincy Acy,acyqu01,10/18/17
Quincy Pondexter,Quincy Pondexter,pondequ01,10/19/17
Quinn Cook,Quinn Cook,cookqu01,10/21/17
Rajon Rondo,Rajon Rondo,rondora01,11/13/17
Ramon Sessions,Ramon Sessions,sessira01,10/19/17
Rashad Vaughn,Rashad Vaughn,vaughra01,10/18/17
Rawle Alkins,Rawle Alkins,alkinra01,12/17/18
Ray Spalding,Ray Spalding,spaldra01,10/17/18
Raymond Felton,Raymond Felton,feltora01,10/19/17
Reggie Bullock,Reggie Bullock,bullore01,10/28/17
Reggie Hearn,Reggie Hearn,hearnre01,2/5/18
Reggie Jackson,Reggie Jackson,jacksre01,10/18/17
Richard Jefferson,Richard Jefferson,jefferi01,10/29/17
Richaun Holmes,Richaun Holmes,holmeri01,11/3/17
Ricky Rubio,Ricky Rubio,rubiori01,10/18/17
Robert Covington,Robert Covington,covinro01,10/18/17
Robert Williams,Robert Williams,williro04,10/22/18
Robin Lopez,Robin Lopez,lopezro01,10/19/17
Rodions Kurucs,Rodions Kurucs,kurucro01,10/17/18
Rodney Hood,Rodney Hood,hoodro01,10/18/17
Rodney McGruder,Rodney McGruder,mcgruro01,2/27/18
Rodney Purvis,Rodney Purvis,purviro01,3/9/18
Ron Baker,Ron Baker,bakerro01,10/19/17
Rondae Hollis-Jefferson,Rondae Hollis-Jefferson,holliro01,10/18/17
Royce O'Neale,Royce O'Neale,onealro01,10/21/17
Rudy Gay,Rudy Gay,gayru01,10/18/17
Rudy Gobert,Rudy Gobert,goberru01,10/18/17
Russell Westbrook,Russell Westbrook,westbru01,10/19/17
Ryan Anderson,Ryan Anderson,anderry01,10/17/17
Ryan Arcidiacono,Ryan Arcidiacono,arcidry01,10/19/17
Ryan Broekhoff,Ryan Broekhoff,broekry01,10/17/18
Salah Mejri,Salah Mejri,mejrisa01,10/20/17
Sam Dekker,Sam Dekker,dekkesa01,10/19/17
Scott Machado,Scott Machado,machasc01,3/24/19
Scotty Hopson,Scotty Hopson,hopsosc01,3/4/18
Sean Kilpatrick,Sean Kilpatrick,kilpase01,10/25/17
Semi Ojeleye,Semi Ojeleye,ojelese01,10/17/17
Serge Ibaka,Serge Ibaka,ibakase01,10/19/17
Seth Curry,Seth Curry,curryse01,10/18/18
Shabazz Muhammad,Shabazz Muhammad,muhamsh01,10/18/17
Shabazz Napier,Shabazz Napier,napiesh01,10/18/17
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,gilgesh01,10/17/18
Shake Milton,Shake Milton,miltosh01,11/30/18
Shane Larkin,Shane Larkin,larkish01,10/17/17
Shaquille Harrison,Shaquille Harrison,harrish01,2/23/18
Shaun Livingston,Shaun Livingston,livinsh01,10/17/17
Shelvin Mack,Shelvin Mack,macksh01,10/20/17
Sindarius Thornwell,Sindarius Thornwell,thornsi01,10/19/17
Solomon Hill,Solomon Hill,hillso01,3/18/18
Spencer Dinwiddie,Spencer Dinwiddie,dinwisp01,10/18/17
Stanley Johnson,Stanley Johnson,johnsst04,10/18/17
Stephen Curry,Stephen Curry,curryst01,10/17/17
Sterling Brown,Sterling Brown,brownst02,10/20/17
Steven Adams,Steven Adams,adamsst01,10/19/17
T.J. McConnell,T.J. McConnell,mccontj01,10/18/17
