,,date,minutes,minutes,td,td,dd,dd,doubles,doubles,dk_per_min,dk_per_min,dk_per_min,dk_score,dk_score,dk_score,points,points,points,game_score,game_score,game_score,fg_pct,three_pct,two_pct,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,w
,,len,sum,mean,sum,mean,sum,mean,sum,mean,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
dk_per_min,mean,0.2476987411888512,0.2783080566583618,0.3012532764358309,0.16010648541232722,0.1883429414173499,0.3317791209582925,0.3813619402748486,0.34349123415702765,0.4099033039748129,1.0,0.18384713679595627,0.2356233264520329,0.4378294419630129,0.38487084956735546,0.36918242111788546,0.39988273756273074,0.3339795329866449,0.3226136189603125,0.45193987881080394,0.36773687767561636,0.36749347570332336,0.3883623077232053,-0.008437486407506394,0.4160367582141239,0.4116197617645861,0.37212988440603056,0.4013967267241601,0.2807267858770453,0.2871219567296304,0.3208485884893556,0.34666727038756306,0.03666924876405921
dk_per_min,max,0.06055295075362517,0.010214273238995552,-0.03653280655039372,-0.0080277865976973,-0.010529798260578977,-0.01999145999148071,-0.02514938667295752,-0.020815478483978557,-0.043472518614614715,0.18384713679595627,1.0,0.6567246736618053,-0.03448761551790687,0.0229683160475649,0.015682871169623434,-0.03901641631735146,0.021081270970028564,-0.005027472954079706,-0.02977518380982411,0.02325528346473148,-0.005788137257346489,0.004340088939172278,-0.02161287259247251,-0.013126345100196555,-0.009869006168379067,0.005004457205057273,-0.01584151798021906,-0.04267893681250304,-0.044520440364627725,0.020780744400159222,-0.04371890954692763,0.026859688027592175
dk_per_min,std,-0.16195978694643956,-0.17261927506541808,-0.26331789130824,-0.02754617020221194,-0.032903612001281786,-0.09419472031610542,-0.09951924584312485,-0.1546357662063937,-0.2000916075643505,0.2356233264520329,0.6567246736618053,1.0,-0.21114347505032563,-0.19747867338923597,-0.15189188440176055,-0.19989580211519992,-0.19334935850724952,-0.17867500474774203,-0.19076583265729743,-0.19409908847958882,-0.18037864309467963,-0.1296772714123124,-0.07716832939420025,-0.1946803071888456,-0.1618580285070292,-0.08799940399062944,-0.18401566338661846,-0.15745173177276053,-0.20145552875316716,-0.10164206242249674,-0.1923592837453299,-0.03452921624401465
dk_score,mean,0.701473544096746,0.7868484337818249,0.9340844910061621,0.3160949214783753,0.35872170187033203,0.6661954186059931,0.7139438188257723,0.8287891127146647,0.9636816016970529,0.4378294419630129,-0.03448761551790687,-0.21114347505032563,1.0,0.88993307220228,0.8054916814324271,0.9600032781203339,0.8590991660911436,0.8236408973422998,0.9871561070677075,0.883436604567402,0.8830996642244526,0.6222460678104612,0.38667375298717704,0.6514854503029981,0.7954828127325917,0.5517149913582152,0.8504853883054242,0.7247770893346585,0.7696209308011266,0.532491969574653,0.8763874364169295,0.045657834404277814
dk_score,max,0.7496372475972746,0.7543292553648384,0.8604668519344182,0.24276677984746536,0.26941645595288805,0.5398931778443811,0.5820430410428578,0.7299008621409169,0.8438358726141674,0.38487084956735546,0.0229683160475649,-0.19747867338923597,0.88993307220228,1.0,0.896901489208792,0.8474135436408435,0.9255316560222183,0.873675463503207,0.8743757768687912,0.9625540785670483,0.9147349261378055,0.6016198248635831,0.36866224752002913,0.6294527126788579,0.7245479711492423,0.5096514380801261,0.7714608417798795,0.630564207646768,0.6945699493317113,0.49308648591570764,0.77338054106431,0.07671008970304073
dk_score,std,0.5704285017743427,0.5756269112964265,0.7923204390698514,0.18147286665357545,0.20800734222969142,0.4262122283490555,0.5149357333913198,0.5668193044679313,0.7573307563393894,0.36918242111788546,0.015682871169623434,-0.15189188440176055,0.8054916814324271,0.896901489208792,1.0,0.75146744660888,0.8208587689815771,0.8976077985516492,0.7773220765671217,0.8538128879115898,0.9326171298754494,0.5741879943963194,0.3638679741966329,0.597723093871323,0.6798945201648418,0.4949131070193633,0.7169537304505049,0.5590910192223242,0.6566596114156682,0.45366712407696014,0.6961769531480493,-0.0052548929585455335
points,mean,0.6794059781949026,0.7744220924113618,0.9083292440929793,0.2814563867881963,0.30432979862075826,0.5767934895471843,0.6037344406101807,0.8099216486789318,0.9402828502832935,0.39988273756273074,-0.03901641631735146,-0.19989580211519992,0.9600032781203339,0.8474135436408435,0.75146744660888,1.0,0.8925665799108288,0.8667643513628369,0.9670815351468851,0.8730441362436873,0.8780361691504948,0.5802173989763186,0.47650485542973786,0.612393079135897,0.666263230340635,0.40888805663483485,0.7360848997298773,0.6817185435232508,0.7027258888957404,0.39984616703654147,0.8542951310458319,0.043656231321911175
points,max,0.7456980903128066,0.7637375672825301,0.851895035263746,0.22040090281854988,0.21828298861229795,0.4743736219539061,0.48169442680970603,0.7321697212381703,0.8304481387885829,0.3339795329866449,0.021081270970028564,-0.19334935850724952,0.8590991660911436,0.9255316560222183,0.8208587689815771,0.8925665799108288,1.0,0.9290122916299501,0.8623221607099334,0.9617112286571512,0.9098840959979947,0.5441935068047504,0.48470322075823163,0.5779473901436516,0.5908385437784991,0.35020305119332534,0.6582905398715488,0.6150311521945875,0.6455415498403817,0.3493150854285192,0.7565887892059455,0.08258857766075112
points,std,0.6148353428031985,0.6430611544774312,0.837520516351994,0.1694463038056384,0.17877839732096745,0.3855219398977571,0.42695224108696905,0.62237253738802,0.7989885931124009,0.3226136189603125,-0.005027472954079706,-0.17867500474774203,0.8236408973422998,0.873675463503207,0.8976077985516492,0.8667643513628369,0.9290122916299501,1.0,0.8204642001247493,0.8949995539913214,0.9596254085088746,0.5493514297777684,0.5400399093086697,0.5756127777615004,0.5525865549522964,0.31961896303021825,0.6196532126979286,0.5802755656124707,0.6285400221547824,0.3068510667862103,0.7321463915614992,0.018874300570619344
game_score,mean,0.7073945157954844,0.7966648912928423,0.9059603772305406,0.31523730216507617,0.34774350135563387,0.6663980233185366,0.7055565919784165,0.8430914647843185,0.9606056331616805,0.45193987881080394,-0.02977518380982411,-0.19076583265729743,0.9871561070677075,0.8743757768687912,0.7773220765671217,0.9670815351468851,0.8623221607099334,0.8204642001247493,1.0,0.8864886479909886,0.8731688950831834,0.640013568181182,0.38500092218437265,0.658312631784168,0.7690826274382836,0.5373471432322261,0.8204997567443891,0.6994308326152084,0.7352343626124086,0.5128402621123787,0.8369372199419707,0.07593236633145029
