,,date,minutes,minutes,td,td,dd,dd,doubles,doubles,dk_per_min,dk_per_min,dk_per_min,dk_score,dk_score,dk_score,points,points,points,game_score,game_score,game_score,fg_pct,three_pct,two_pct,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,w
,,len,sum,mean,sum,mean,sum,mean,sum,mean,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
slug,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamesle01,LeBron James,871,33211.31666666671,38.13009950248761,74,0.08495981630309989,385,0.44202066590126293,1328,1.5246842709529276,1.3942964038296928,2.304921968787515,0.2796329229533646,52.96182548794489,97.25,11.877622793113424,27.23076923076923,61,7.348360938880425,22.925832376578626,53.2,7.35867529085486,0.5271243229066435,0.31382001083493594,0.5795487310496218,7.989667049368542,1.243398392652124,6.746268656716418,7.448909299655568,1.5809414466130884,0.7703788748564868,3.6050516647531574,0.6934557979334098
motlejo01,Johnathan Motley,33,331.7666666666667,10.053535353535354,0,0.0,1,0.030303030303030304,7,0.21212121212121213,1.3936988957289458,3.917910447761194,1.0070631946460817,11.075757575757576,49.0,9.641926036295546,6.0,26,5.65685424949238,4.1909090909090905,22.5,4.452763442260016,0.4984268522546035,0.0101010101010101,0.5154841642809558,3.0303030303030303,0.9696969696969697,2.0606060606060606,0.5454545454545454,0.24242424242424243,0.15151515151515152,0.7575757575757576,0.3939393939393939
davisty01,Tyler Davis,1,0.9,0.9,0,0.0,0,0.0,0,0.0,1.3888888888888888,1.3888888888888888,,1.25,1.25,,0.0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
thomptr02,Trey Thompkins,24,119.03333333333335,4.959722222222223,0,0.0,0,0.0,0,0.0,1.3845144362388009,15.0,2.9629915062019805,4.270833333333333,15.0,4.6120804667616175,2.375,8,2.5162515254104534,1.2125,5.9,1.9766710047121057,0.3782407407407407,0.14583333333333334,0.29464285714285715,1.0,0.16666666666666666,0.8333333333333334,0.125,0.125,0.125,0.25,0.6666666666666666
jokicni01,Nikola Joki?,322,9273.433333333332,28.799482401656313,32,0.09937888198757763,161,0.5,451,1.4006211180124224,1.376595857734173,2.6451437873033097,0.39302221404812787,40.67546583850932,85.0,17.148582058139635,16.63975155279503,43,8.820150248457866,16.17981366459627,45.8,8.841127835191207,0.5184341091912786,0.29697328206644974,0.5626816870806393,9.714285714285714,2.701863354037267,7.012422360248447,5.291925465838509,1.0993788819875776,0.7267080745341615,2.388198757763975,0.531055900621118
davisan02,Anthony Davis,479,16637.366666666654,34.73354210160053,1,0.0020876826722338203,282,0.5887265135699373,728,1.5198329853862214,1.3708404812040438,2.5373993095512084,0.3487467503248052,48.01931106471816,94.25,16.57358126561335,23.916492693110648,59,9.94889238255148,20.68830897703548,53.9,9.475731447492741,0.5152044830180749,0.1456539748815323,0.5303004065965455,10.586638830897703,2.5908141962421714,7.995824634655532,2.0981210855949897,1.3820459290187892,2.4091858037578286,1.8893528183716075,0.4613778705636743
couside01,DeMarcus Cousins,573,18212.18333333333,31.783915066899354,9,0.015706806282722512,339,0.5916230366492147,868,1.5148342059336823,1.3702399508147092,2.3476239669421486,0.3342438115072176,44.1195462478185,102.25,15.421436134520402,21.05933682373473,56,8.963794946290815,15.669109947643989,43.7,8.518353616297924,0.4560255174866763,0.14168914273626315,0.47385232219229545,10.767888307155323,2.7469458987783595,8.020942408376964,3.230366492146597,1.4136125654450262,1.2268760907504364,3.5235602094240837,0.4048865619546248
caupatr01,Troy Caupain,4,15.633333333333333,3.908333333333333,0,0.0,0,0.0,0,0.0,1.3626516233614272,2.142857142857143,0.5885552927538871,5.6875,11.75,4.125,2.5,5,2.0816659994661326,2.775,6.4,2.582472975011872,0.41666666666666663,0.5,0.25,0.75,0.25,0.5,1.0,0.25,0.0,0.0,0.75
doncilu01,Luka Don?i?,72,2317.8,32.19166666666667,8,0.1111111111111111,24,0.3333333333333333,101,1.4027777777777777,1.3327467991144397,2.294332723948812,0.3119623539122953,43.02430555555556,69.5,11.875910619067554,21.194444444444443,35,6.789882466756187,15.81805555555556,30.2,6.962056649123341,0.42427071187119064,0.33192841109507754,0.498604598278876,7.819444444444445,1.1944444444444444,6.625,5.958333333333333,1.0694444444444444,0.3472222222222222,3.4305555555555554,0.3888888888888889
townska01,Karl-Anthony Towns,328,11289.03333333334,34.417784552845546,1,0.003048780487804878,239,0.7286585365853658,559,1.704268292682927,1.3290765204405917,2.3607355327203896,0.32537423476167854,45.832317073170735,86.5,13.225508486900521,22.14329268292683,56,8.075762287592147,18.824695121951237,46.0,8.15921646743256,0.5367590848365358,0.3446900406504067,0.5688366843927797,11.884146341463415,3.173780487804878,8.710365853658537,2.591463414634146,0.7530487804878049,1.4817073170731707,2.457317073170732,0.4329268292682927
mitchto03,Tony Mitchell,3,9.733333333333334,3.244444444444445,0,0.0,0,0.0,0,0.0,1.3270292259936545,2.2641509433962264,0.8158616376795221,3.5833333333333335,4.0,0.38188130791298663,2.0,4,2.0,2.033333333333333,3.4,1.2342339054382412,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
greenor01,Orien Greene,3,5.3,1.7666666666666666,0,0.0,0,0.0,0,0.0,1.3219445081403347,2.4489795918367347,1.2360693844242743,2.1666666666666665,4.5,2.254624876411447,1.0,2,1.0,1.0999999999999999,2.3,1.5874507866387542,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
duranke01,Kevin Durant,802,29973.650000000038,37.37362842892773,13,0.016209476309226933,220,0.2743142144638404,1034,1.2892768079800498,1.3083880541883255,2.0818505338078293,0.27302596281184605,48.61221945137157,83.5,11.074414915902276,28.15087281795511,54,7.36499331826321,21.77693266832918,44.3,7.141287110246054,0.5072408741727397,0.39084257042486514,0.5571204945855803,7.493765586034913,0.6820448877805486,6.811720698254364,4.422693266832917,1.0785536159600997,1.1832917705735662,3.1359102244389025,0.699501246882793
