,p1,p2,p3,team,date,venue
143,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/10/16,Location.AWAY
144,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/10/16,Location.AWAY
145,jordade01,paulch01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/10/16,Location.HOME
146,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/10/16,Location.AWAY
147,harriga01,mudiaem01,bartowi01,Team.DENVER_NUGGETS,1/10/16,Location.HOME
148,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/10/16,Location.HOME
149,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/10/16,Location.HOME
150,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/10/16,Location.AWAY
151,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/10/16,Location.HOME
152,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/10/16,Location.HOME
153,walljo01,porteot01,templga01,Team.WASHINGTON_WIZARDS,1/11/16,Location.AWAY
154,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/11/16,Location.HOME
155,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/11/16,Location.AWAY
156,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/11/16,Location.HOME
157,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/11/16,Location.HOME
158,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/11/16,Location.AWAY
159,butleji01,gasolpa01,mirotni01,Team.CHICAGO_BULLS,1/12/16,Location.AWAY
160,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/12/16,Location.HOME
161,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/12/16,Location.HOME
162,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/12/16,Location.HOME
163,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/12/16,Location.AWAY
164,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/12/16,Location.AWAY
165,anderry01,evansty01,coleno01,Team.NEW_ORLEANS_PELICANS,1/12/16,Location.AWAY
166,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/12/16,Location.HOME
167,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/12/16,Location.HOME
168,tuckepj01,warretj01,goodwar01,Team.PHOENIX_SUNS,1/12/16,Location.AWAY
169,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/12/16,Location.AWAY
170,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/12/16,Location.AWAY
171,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/12/16,Location.HOME
172,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/12/16,Location.AWAY
173,chalmma01,gasolma01,leeco01,Team.MEMPHIS_GRIZZLIES,1/12/16,Location.HOME
174,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/12/16,Location.HOME
175,walljo01,templga01,dudleja01,Team.WASHINGTON_WIZARDS,1/13/16,Location.HOME
176,boshch01,greenge01,denglu01,Team.MIAMI_HEAT,1/13/16,Location.AWAY
177,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/13/16,Location.HOME
178,porzikr01,afflaar01,willide02,Team.NEW_YORK_KNICKS,1/13/16,Location.AWAY
179,feltora01,poweldw01,bareajo01,Team.DALLAS_MAVERICKS,1/13/16,Location.AWAY
180,curryst01,thompkl01,iguodan01,Team.GOLDEN_STATE_WARRIORS,1/13/16,Location.AWAY
181,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/13/16,Location.HOME
