,p1,p2,p3,team,date,venue
192,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/13/2013,Location.HOME
193,duranke01,perkike01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/13/2013,Location.AWAY
194,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/13/2013,Location.AWAY
195,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/13/2013,Location.AWAY
196,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/13/2013,Location.AWAY
197,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/14/2013,Location.AWAY
198,bledser01,jordade01,bledser01,Team.LOS_ANGELES_CLIPPERS,1/14/2013,Location.AWAY
199,collida01,kamanch01,collida01,Team.DALLAS_MAVERICKS,1/14/2013,Location.HOME
200,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/14/2013,Location.HOME
201,walljo01,okafoem01,walljo01,Team.WASHINGTON_WIZARDS,1/14/2013,Location.HOME
202,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/14/2013,Location.HOME
203,harklma01,vucevni01,vucevni01,Team.ORLANDO_MAGIC,1/14/2013,Location.AWAY
204,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/14/2013,Location.AWAY
205,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/14/2013,Location.HOME
206,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/14/2013,Location.HOME
207,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/14/2013,Location.HOME
208,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/14/2013,Location.HOME
209,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/14/2013,Location.AWAY
210,westbru01,thabeha01,westbru01,Team.OKLAHOMA_CITY_THUNDER,1/14/2013,Location.AWAY
211,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/14/2013,Location.AWAY
212,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/14/2013,Location.AWAY
213,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/15/2013,Location.HOME
214,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/15/2013,Location.HOME
215,crawfja01,jordade01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/15/2013,Location.AWAY
216,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/15/2013,Location.AWAY
217,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/15/2013,Location.HOME
218,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/15/2013,Location.AWAY
219,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/15/2013,Location.HOME
220,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/15/2013,Location.AWAY
221,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/15/2013,Location.AWAY
222,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/15/2013,Location.AWAY
223,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/15/2013,Location.HOME
224,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/15/2013,Location.HOME
225,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/16/2013,Location.HOME
226,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/16/2013,Location.AWAY
227,mayooj01,kamanch01,mayooj01,Team.DALLAS_MAVERICKS,1/16/2013,Location.HOME
228,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/16/2013,Location.AWAY
229,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/16/2013,Location.HOME
230,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/16/2013,Location.HOME
231,walljo01,okafoem01,walljo01,Team.WASHINGTON_WIZARDS,1/16/2013,Location.AWAY
232,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/16/2013,Location.AWAY
233,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/16/2013,Location.AWAY
234,redicjj01,vucevni01,vucevni01,Team.ORLANDO_MAGIC,1/16/2013,Location.HOME
235,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/16/2013,Location.AWAY
236,jackja01,landrca01,jackja01,Team.GOLDEN_STATE_WARRIORS,1/16/2013,Location.HOME
237,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/16/2013,Location.HOME
238,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/16/2013,Location.HOME
239,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/16/2013,Location.HOME
240,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/16/2013,Location.AWAY
241,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/16/2013,Location.HOME
242,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/16/2013,Location.AWAY
243,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/16/2013,Location.AWAY
244,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/16/2013,Location.AWAY
245,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/17/2013,Location.HOME
246,crawfja01,jordade01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/17/2013,Location.AWAY
247,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/17/2013,Location.AWAY
248,stuckro01,monrogr01,monrogr01,Team.DETROIT_PISTONS,1/17/2013,Location.HOME
249,rubiori01,pekovni01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/17/2013,Location.HOME
250,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/17/2013,Location.HOME
251,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/17/2013,Location.AWAY
252,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/17/2013,Location.AWAY
253,teaguje01,pachuza01,teaguje01,Team.ATLANTA_HAWKS,1/18/2013,Location.AWAY
