,p1,p2,p3,team,date,venue
2734,Donovan Mitchell,Derrick Favors,Royce O'Neale,Team.UTAH_JAZZ,1/12/2018,Location.AWAY
2735,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/13/2018,Location.HOME
2736,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/13/2018,Location.HOME
2737,J.J. Barea,Dwight Powell,Harrison Barnes,Team.DALLAS_MAVERICKS,1/13/2018,Location.HOME
2738,Russell Westbrook,Steven Adams,Paul George,Team.OKLAHOMA_CITY_THUNDER,1/13/2018,Location.AWAY
2739,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/13/2018,Location.HOME
2740,Kentavious Caldwell-Pope,Julius Randle,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,1/13/2018,Location.AWAY
2741,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/13/2018,Location.AWAY
2742,Lou Williams,Willie Reed,Montrezl Harrell,Team.LOS_ANGELES_CLIPPERS,1/13/2018,Location.HOME
2743,Kevin Durant,David West,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,1/13/2018,Location.AWAY
2744,DeMar DeRozan,Jonas Valan?i?nas,OG Anunoby,Team.TORONTO_RAPTORS,1/13/2018,Location.HOME
2745,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Team.SAN_ANTONIO_SPURS,1/13/2018,Location.HOME
2746,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/13/2018,Location.AWAY
2747,Buddy Hield,Willie Cauley-Stein,Bogdan Bogdanovi?,Team.SACRAMENTO_KINGS,1/13/2018,Location.AWAY
2748,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/13/2018,Location.AWAY
2749,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/15/2018,Location.HOME
2750,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/15/2018,Location.HOME
2751,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/15/2018,Location.AWAY
2752,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/15/2018,Location.AWAY
2753,Ben Simmons,Joel Embiid,Dario ?ari?,Team.PHILADELPHIA_76ERS,1/15/2018,Location.HOME
2754,Russell Westbrook,Steven Adams,Paul George,Team.OKLAHOMA_CITY_THUNDER,1/15/2018,Location.HOME
2755,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/15/2018,Location.AWAY
2756,Frank Ntilikina,Kristaps Porzi??is,Michael Beasley,Team.NEW_YORK_KNICKS,1/15/2018,Location.AWAY
